date,quantity,t,t_square,log_t,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2019-12-01,11120,1,1,9.316500567804573,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-01,13043,2,4,9.476006870370282,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-01,12231,3,9,9.411728991487363,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-01,12868,4,16,9.462498888358917,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-01,11731,5,25,9.369990189505721,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,12185,6,36,9.407960966059306,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-01,11984,7,49,9.391327705757,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-01,12559,8,64,9.438192819018127,0,0,0,0,0,1,0,0,0,0,0,0
2020-08-01,12554,9,81,9.437794618877478,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-01,12177,10,100,9.407304205507007,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-01,12821,11,121,9.4588397305527,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-01,13873,12,144,9.537699784080726,0,0,0,0,0,0,0,0,0,1,0,0
2020-12-01,12348,13,169,9.42124938562205,0,0,1,0,0,0,0,0,0,0,0,0
2021-01-01,14271,14,196,9.56598478510039,0,0,0,0,1,0,0,0,0,0,0,0
2021-02-01,13459,15,225,9.507403306233716,0,0,0,1,0,0,0,0,0,0,0,0
2021-03-01,14096,16,256,9.553646348175961,0,0,0,0,0,0,0,1,0,0,0,0
2021-04-01,12959,17,289,9.469545806435415,1,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,13413,18,324,9.50397966490209,0,0,0,0,0,0,0,0,1,0,0,0
2021-06-01,13213,19,361,9.488956472414216,0,0,0,0,0,0,1,0,0,0,0,0
2021-07-01,13787,20,400,9.531481398171628,0,0,0,0,0,1,0,0,0,0,0,0
2021-08-01,13782,21,441,9.531118671917154,0,1,0,0,0,0,0,0,0,0,0,0
2021-09-01,13405,22,484,9.50338305067006,0,0,0,0,0,0,0,0,0,0,0,1
2021-10-01,14049,23,529,9.550306497851652,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-01,15101,24,576,9.62251624577579,0,0,0,0,0,0,0,0,0,1,0,0
